Date,Adj Close,Close,High,Low,Open,Volume,SMA20,EMA20,RSI,MACD,BB_High,BB_Low,Target
2025-08-08,228.4437255859375,229.35000610351562,231.0,219.25,220.8300018310547,113854000,211.54900054931642,211.72310800683513,73.66017422923188,2.432880340888204,223.30377566129397,199.79422543733887,0
2025-08-11,226.53909301757812,227.17999267578125,229.55999755859375,224.75999450683594,227.9199981689453,61806100,212.47700042724608,213.19519226102048,69.80602963800534,3.359203888179195,225.96328128027042,198.99071957422174,1
2025-08-12,229.00210571289062,229.64999389648438,230.8000030517578,227.07000732421875,228.00999450683594,55626200,213.50400009155274,214.76231622630274,71.6258855662474,4.243711563768926,228.81333911680832,198.19466106629716,1
2025-08-13,232.6717529296875,233.3300018310547,235.0,230.42999267578125,231.07000732421875,69878500,214.6625,216.53066723627913,74.12787333708745,5.181902409068272,232.13776766060096,197.18723233939903,0
2025-08-14,232.12330627441406,232.77999877929688,235.1199951171875,230.85000610351562,234.05999755859375,51916300,215.8004997253418,218.07822262132845,73.09052415090197,5.81402431041252,234.81478397160404,196.78621547907957,0
2025-08-15,230.93666076660156,231.58999633789062,234.27999877929688,229.33999633789062,234.0,56038700,216.82099990844728,219.36505821338199,70.78251845037417,6.148090855337443,236.8950913319542,196.74690848494035,0
2025-08-18,230.23863220214844,230.88999938964844,233.1199951171875,230.11000061035156,231.6999969482422,37476200,217.74150009155272,220.4626716587407,69.39437907759287,6.283919977508987,238.60770123003505,196.8752989530704,0
2025-08-19,229.90957641601562,230.55999755859375,232.8699951171875,229.35000610351562,231.27999877929688,39402600,218.54950027465821,221.424321744441,68.71025713237529,6.292402249354012,240.07661191324502,197.0223886360714,0
2025-08-20,225.3723907470703,226.00999450683594,230.47000122070312,225.77000427246094,229.97999572753906,42263900,219.1425003051758,221.8610524837167,59.93658776664182,5.864376409783517,240.8051548728588,197.47984573749278,0
2025-08-21,224.26551818847656,224.89999389648438,226.52000427246094,223.77999877929688,226.27000427246094,30621200,219.6995002746582,222.15047547540885,57.99114877821516,5.373650972145725,241.35279286058386,198.04620768873252,1
2025-08-22,227.11744689941406,227.75999450683594,229.08999633789062,225.41000366210938,226.1699981689453,42477800,220.39349975585938,222.68471538316382,61.462046678211536,5.156089484541354,242.14573060288575,198.641268908833,0
2025-08-25,226.5191650390625,227.16000366210938,229.3000030517578,226.22999572753906,226.47999572753906,30983100,221.04899978637695,223.11093331449197,60.33578531929282,4.8790139555336225,242.7872138482074,199.31078572454652,1
2025-08-26,228.6630859375,229.30999755859375,229.49000549316406,224.69000244140625,226.8699951171875,54575100,221.95099945068358,223.7013203853588,62.95538280066847,4.777840174343623,243.48744770025812,200.41455120110905,1
2025-08-27,229.8397674560547,230.49000549316406,230.89999389648438,228.25999450683594,228.61000061035156,31259500,223.02299957275392,224.3478618241974,64.347136870725,4.738256332871657,244.0115118921493,202.03448725335855,1
2025-08-28,231.90391540527344,232.55999755859375,233.41000366210938,229.33999633789062,230.82000732421875,38074700,224.27249908447266,225.129969989378,66.70990375831454,4.818373700665802,244.38976841935,204.15522974959532,0
2025-08-29,231.485107421875,232.13999938964844,233.3800048828125,231.3699951171875,232.50999450683594,39418400,225.76049880981446,225.7975918370228,65.75768576411616,4.792729349128081,243.434525077136,208.08647254249294,0
2025-09-02,229.07192993164062,229.72000122070312,230.85000610351562,226.97000122070312,229.25,44075600,227.07899856567383,226.17115463546853,60.407269187781345,4.524971335453301,241.50491043542124,212.65308669592642,1
2025-09-03,237.79725646972656,238.47000122070312,238.85000610351562,234.36000061035156,237.2100067138672,66427800,228.85649871826172,227.34247335787182,69.93317603590265,4.961628489007779,239.08823534346234,218.6247620930611,1
2025-09-04,239.1035614013672,239.77999877929688,239.89999389648438,236.74000549316406,238.4499969482422,47549400,230.18299865722656,228.52699958848373,71.05596233485592,5.351697249441031,238.71540958751137,221.65058772694175,0
